title,subtitle,author,content,link,category
Sobhita Dhulipala and Naga Chaitanya share unseen wedding photos,"Sobhita also shared a separate post featuring her wedding attire, a gold-and-white Kanjivaram saree paired with traditional gold jewelry",The Hindu Bureau,"Sobhita Dhulipala and Naga Chaitanya share unseen wedding photos Sobhita also shared a separate post featuring her wedding attire, a gold-and-white Kanjivaram saree paired with traditional gold jewelry Actors Sobhita Dhulipala and Naga Chaitanya have shared previously unseen photos from their wedding ceremony, held on December 4 at Annapurna Studios in Hyderabad. The couple posted the pictures on Instagram, offering a closer look at the intimate event attended by family and close friends. The shared images include moments from the traditional ceremony, such as the exchange of garlands and Sobhita holding Naga Chaitanya’s face during a candid moment. The post was accompanied by a caption in Telugu, referencing a wedding chant about lifelong partnership.",https://www.thehindu.com/entertainment/movies/sobhita-dhulipala-and-naga-chaitanya-share-unseen-wedding-photos/article68964058.ece,movies
"Ranbir Kapoor confirms completion of Nitesh Tiwari’s ‘Ramayana’ Part 1, updates on Sandeep Reddy Vanga’s ‘Animal’ trilogy","The film stars Sai Pallavi as Sita, Ravi Dubey as Lakshman, and Kannada superstar Yash as Ravan",The Hindu Bureau,"Ranbir Kapoor confirms completion of Nitesh Tiwari’s ‘Ramayana’ Part 1, updates on Sandeep Reddy Vanga’s ‘Animal’ trilogy The film stars Sai Pallavi as Sita, Ravi Dubey as Lakshman, and Kannada superstar Yash as Ravan Ranbir Kapoor has unveiled exciting details about the highly anticipated Nitesh Tiwari-directed Ramayana. Speaking at the Red Sea Film Festival in Jeddah, Kapoor confirmed that filming for the first part of the two-part epic has been completed, with production on the second part set to begin soon. The actor, who portrays Lord Ram in the film, expressed gratitude for being part of the ambitious project. “I am currently working on Ramayana, which is the greatest story around,” Kapoor said. He described the film as a “dream” project that celebrates Indian culture, family dynamics, and timeless values.",https://www.thehindu.com/entertainment/movies/ranbir-kapoor-confirms-completion-of-nitesh-tiwaris-ramayana-part-1/article68963977.ece,movies
Sanjay Dutt joins Tiger Shroff in ‘Baaghi 4’,"The upcoming instalment is slated to hit the big screens on September 5, 2025",Miscellaneous,"Sanjay Dutt joins Tiger Shroff in ‘Baaghi 4’ The upcoming instalment is slated to hit the big screens on September 5, 2025 Veteran star Sanjay Dutt is all set to step into the shoes of the main antagonist in the upcoming filmBaaghi 4, headlined by Tiger Shroff. The upcoming project is the fourth instalment in the Baaghi franchise and is slated to hit the big screens on September 5, 2025. Directed by A. Harsha, the film is produced by Nadiadwala Grandson Entertainment.",https://www.thehindu.com/entertainment/movies/sanjay-dutt-joins-tiger-shroff-in-baaghi-4/article68964271.ece,movies
‘Demon Slayer’ Infinity Castle trilogy to premiere first film in 2025,"The trilogy, announced earlier this year by Crunchyroll and Sony Pictures Entertainment, promises a theatrical release worldwide, excluding select Asian territories and Japan",The Hindu Bureau,"‘Demon Slayer’ Infinity Castle trilogy to premiere first film in 2025 The trilogy, announced earlier this year by Crunchyroll and Sony Pictures Entertainment, promises a theatrical release worldwide, excluding select Asian territories and Japan Fans of Demon Slayer: Kimetsu no Yaiba were thrilled as Crunchyroll and Ufotable unveiled a new visual and premiere details for the highly anticipated Infinity Castle movie trilogy during the CCXP panel in Brazil. The first film is set to hit theaters globally in 2025, marking the beginning of the anime adaptation of the final arc of the popular manga series. The trilogy, announced earlier this year by Crunchyroll and Sony Pictures Entertainment, promises a theatrical release worldwide, excluding select Asian territories and Japan. While exact release dates for subsequent films remain unconfirmed, excitement continues to build.",https://www.thehindu.com/entertainment/movies/demon-slayer-infinity-castle-trilogy-to-premiere-first-film-in-2025/article68964001.ece,movies
‘Veera Dheera Sooran’ teaser: Vikram plays a dotting family man with a dark secret,"The film also stars Dushara Vijayan, SJ Suryah and Malayalam actor Suraj Venjaramoodu",The Hindu Bureau,"‘Veera Dheera Sooran’ teaser: Vikram plays a dotting family man with a dark secret The film also stars Dushara Vijayan, SJ Suryah and Malayalam actor Suraj Venjaramoodu We had previously reported that Vikram is teaming up with Chittha fame SU Arun Kumar for the actor’s 62nd film which is titled Veera Dheera Sooran. The makers of the film have now released the film’s teaser. In the teaser, Vikram is shown as a dotting family man who seems to have had a dark past that’s made a comeback to haunt him.",https://www.thehindu.com/entertainment/movies/veera-dheera-sooran-teaser-vikram-plays-a-dotting-family-man-with-a-dark-secret/article68965400.ece,movies
Chennai International Film Festival to commence on December 12; here are some of the films to look forward to,123 films from 50 countries will screened at the 22nd Chennai International Film Festival,The Hindu Bureau,"Chennai International Film Festival to commence on December 12; here are some of the films to look forward to 123 films from 50 countries will screened at the 22nd Chennai International Film Festival The 22nd Chennai International Film Festival (CIFF) is all set to happen later this month. The festival will commence on December 12, 2024, and the screenings will continue till December 19 with both the opening and closing ceremony scheduled to happen at PVR Sathyam Cinemas. A total of 25 films have been selected by the Preview Committee for the Tamil Films Competition category and 12 films have been picked for the World Cinema category. The awards for the Tamil film competition and World Cinema Competition will be unveiled during the closing ceremony.",https://www.thehindu.com/entertainment/movies/chennai-international-film-festival-to-commence-on-december-12-heres-the-list-of-films-to-be-screened/article68965727.ece,movies
Kalidas Jayaram marries longtime partner Tarini Kalingarayar at Guruvayur Temple,"The couple, dressed in elegant matching red traditional attire, exchanged vows in the presence of close family and friends",The Hindu Bureau,"Kalidas Jayaram marries longtime partner Tarini Kalingarayar at Guruvayur Temple The couple, dressed in elegant matching red traditional attire, exchanged vows in the presence of close family and friends Actor Kalidas Jayaram, son of celebrated Malayalam actors Jayaram and Parvathy, tied the knot with model Tarini Kalingarayar in a traditional ceremony at the iconic Guruvayur temple on Sunday. The couple, dressed in elegant matching red traditional attire, exchanged vows in the presence of close family and friends. The wedding witnessed the attendance of notable figures, including actor-MP Suresh Gopi, who is also the Union Minister of State for Petroleum and Natural Gas, and Kerala’s Public Works and Tourism Minister PA Mohammed Riyas along with his wife, Veena, the daughter of Chief Minister Pinarayi Vijayan. Following the ceremony, Kalidas and Tarini expressed their gratitude to the media for the outpouring of love and blessings.",https://www.thehindu.com/entertainment/movies/kalidas-jayaram-marries-longtime-partner-tarini-kalingarayar-at-guruvayur-temple/article68961480.ece,movies
Teyonah Parris joins John Cena in ‘Matchbox’,"Sam Hargrave, known for directing Chris Hemsworth-led ‘Extraction’ movies, will helm the project from a screenplay by David Coggeshall and Jonathan Tropper",Miscellaneous,"Teyonah Parris joins John Cena in ‘Matchbox’ Sam Hargrave, known for directing Chris Hemsworth-led ‘Extraction’ movies, will helm the project from a screenplay by David Coggeshall and Jonathan Tropper The Marvels star Teyonah Parris will appear alongside John Cena in Matchbox, a live-action film based on the iconic Mattel car toyline. Apple Original Films has acquired the project, which is being developed by Skydance and Mattel Films, according to The Hollywood Reporter.",https://www.thehindu.com/entertainment/movies/teyonah-parris-joins-john-cena-in-matchbox/article68958207.ece,movies
Simran and Sasikumar’s film with ‘Good Night’ and ‘Lover’ makers titled ‘Tourist Family’,"The film also stars Mithun Jai Sankar, Kamalesh, Yogi Babu, Ramesh Thilak, M.S. Bhaskar and Bagavathy Perumal",The Hindu Bureau,"Simran and Sasikumar’s film with ‘Good Night’ and ‘Lover’ makers titled ‘Tourist Family’ The film also stars Mithun Jai Sankar, Kamalesh, Yogi Babu, Ramesh Thilak, M.S. Bhaskar and Bagavathy Perumal We had previously reported that Sasikumar, seen recently in Era Saravanan’s Nandhan, is teaming up with Simran for his next. It’s now known that the film is titled Tourist Family. Tha makers released a title teaser featuring the lead actors as a couple from a Sri Lankan Tamil family trying to elope from their house due to reasons unknown.",https://www.thehindu.com/entertainment/movies/simran-and-sasikumars-film-with-good-night-and-lover-makers-titled-tourist-family/article68958144.ece,movies
A look at some of the gripping Malayalam thrillers of 2024,No Subtitle,Vivek M.V.,A look at some of the gripping Malayalam thrillers of 2024 No Subtitle The year 2024 has been fabulous for the Malayalam film industry. Mollywood has consistently delivered hit movies and most of them have been well-made thrillers. What makes these thrillers a cut above the rest? Are Malayalam film writers reinventing the thriller genre? Which were the best Malayalam thrillers of 2024? Here is a video essay that answers these questions. Presentation: Vivek MV,https://www.thehindu.com/videos/a-look-at-some-of-the-gripping-malayalam-thrillers-of-2024/article68958912.ece,movies
